datetime,message,ID
19:18:34,vehicle accident - report,1867
19:19:00,vehicle accident - no or unknown injuries,1878
19:20:00,2 fire trucks have arrived with fresh fire figthers to replace the weary early arrivals #afd #heroes #abilapost,1892
19:20:00,additional fire trucks arrive. fire still out of control. #hi,1893
19:20:00,more fire trucks are arriving this is really bad,1895
19:21:00,rt @abilapost 2 fire trucks have arrived with fresh fire figthers to replace the weary early arrivals #afd #heroes #abilapost,1916
19:21:00,rt @dangermice more fire trucks are arriving this is really bad,1919
19:22:00,abila fire department announces expansion of evacuation area #afd,1940
19:22:00,they are announcing more evacuations not sure if i'll be able to keep seeing anything,1941
19:25:00,rt @dangermice they are announcing more evacuations not sure if i'll be able to keep seeing anything,1997
19:25:00,fire officials have expanded evacuation area. police are going door to door ordering residents to leave #hi,2000
19:25:00,they must be really worried,2001
19:25:08,#afd and #apd have announced expanding evacuation perimeter to addtional buildings #abilapost,2012
19:26:13,expansion of evacuation perimeter in abila fire #abila #centralbulletin,2030
19:27:00,neighborhood evacuations in dancing dolphin fire #abila #intnews,2047
19:27:00,"they are getting ready to go house to house i""""m really worried #abilafire""""",2049
19:27:13,rt @centralbulletin expansion of evacuation perimeter in abila fire #abila #centralbulletin,2053
19:28:00,"rt @dangermice they are getting ready to go house to house i""""m really worried #abilafire""""",2062
19:29:00,rt @homelandilluminations fire officials have expanded evacuation area. police are going door to door ordering residents to leave #hi,2074
