datetime,message,ID
18:55:05,as a precaution fire officials have ordered nearby buildings evacuated. police are going door to door to clear area. #hi,1522
18:57:05,rt @homelandilluminations as a precaution fire officials have ordered nearby buildings evacuated. police are going door to door to clear area. #hi,1561
19:16:07,we have opened our doors to those who need emergency shelter #dancingdolphinsfire,1830
19:25:00,fire officials have expanded evacuation area. police are going door to door ordering residents to leave #hi,2000
19:25:00,reminder - we have opened our doors to evacuees of tonight's fire. cookies and punch are available.,2002
19:26:00,rt @homelandilluminations fire officials have expanded evacuation area. police are going door to door ordering residents to leave #hi,2027
19:30:00,police are going door to door ordering residents to vacate immediately. #hi,2091
19:40:29,so van tried a t-turn to exit; cop blocked him off; van and cop doors open #troubleatgelato,2247
19:41:33,why didnt i stay at the rally? im trapped in here the van is right outsdie the door,2298
19:41:33,cops and the van dude are hiding behind their doors - just like the movies,2300
19:41:33,"van guys behind their doors, cops too #troubleatgelato",2301
19:42:11,everyone stay indoors -- there's someone shooting people at gelato galor!!!!!  don't go outside!,2339
19:43:33,rt @truccotrucco why didnt i stay at the rally? im trapped in here the van is right outsdie the door,2407
19:43:33,rt @protoguy cops and the van dude are hiding behind their doors - just like the movies,2408
19:43:37,they're knocking on doors!!!!,2410
19:46:00,guy just came back - says he looked out the back door and saw a black van and guys with guns.,2557
19:48:00,rt @roger_roger guy just came back - says he looked out the back door and saw a black van and guys with guns.,2621
19:55:00,looked out back door - cop waved me to get back inside and stay. crap.,2734
19:57:00,rt @roger_roger looked out back door - cop waved me to get back inside and stay. crap.,2759
19:57:00,cant believe theres no backdoor here im ready to run! #standoff,2760
19:57:32,we decided to stay put. couple of us are gonna block the doors so no one can get inside.,2775
19:59:32,rt @roger_roger we decided to stay put. couple of us are gonna block the doors so no one can get inside.,2812
20:00:00,can't block the front door because of hte windows,2825
20:01:00,rt @truccotrucco cant believe theres no backdoor here im ready to run! #standoff,2834
20:03:32,we're all on the floor. we managed to block the back door.,2878
20:10:00,police just knocked on my door about the car!,3005
20:13:00,rt @hennyhenhendrix police just knocked on my door about the car!,3091
